ip_address,request_path,request_method,user_agent,failed_login_attempts,request_count,risk_score,risk_level,attack_type
"225.8.243.156","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","2","8","8.4","SUSPICIOUS","PATH_TRAVERSAL"
"2.19.148.183","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","6","4.8","NORMAL","BRUTE_FORCE"
"12.144.81.145","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","11","12.3","MALICIOUS","CREDENTIAL_STUFFING"
"12.214.106.71","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","6","4.8","NORMAL","RECONNAISSANCE"
"250.78.78.179","/login/","POST","python-requests/2.28","3","10","8","SUSPICIOUS","HTTP_METHOD_ABUSE"
"64.85.155.20","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","6","13","13.9","MALICIOUS","CREDENTIAL_STUFFING"
"223.221.52.161","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","10","7","SUSPICIOUS","RECONNAISSANCE"
"43.68.133.232","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","1","5","5.5","NORMAL","PATH_TRAVERSAL"
"31.138.196.95","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","1","3","5.9","NORMAL","PATH_TRAVERSAL"
"47.137.228.63","/login/","POST","python-requests/2.28","1","2","3.6","NORMAL","BOT_ACTIVITY"
"176.247.77.25","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","2","4.6","NORMAL","PATH_TRAVERSAL"
"51.218.142.59","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","2","5.6","NORMAL","COMMAND_INJECTION"
"153.248.240.23","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","2","5.6","NORMAL","SQL_INJECTION"
"68.59.31.96","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","4","2.2","NORMAL","HTTP_METHOD_ABUSE"
"208.134.164.113","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","3","1.9","NORMAL","NORMAL"
"33.3.200.14","/login/","POST","python-requests/2.28","1","2","3.6","NORMAL","COMMAND_INJECTION"
"28.100.233.202","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","2","5.6","NORMAL","SQL_INJECTION"
"62.138.31.93","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","7","11","18.3","MALICIOUS","SQL_INJECTION"
"68.135.231.26","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","2","10","8","SUSPICIOUS","COMMAND_INJECTION"
"23.103.252.88","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","2","8","8.4","SUSPICIOUS","COMMAND_INJECTION"
"166.18.80.52","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","9","3.7","NORMAL","COMMAND_INJECTION"
"69.208.192.195","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","1","8","3.4","NORMAL","COMMAND_INJECTION"
"3.236.150.131","/login/","POST","python-requests/2.28","4","10","9","SUSPICIOUS","SQL_INJECTION"
"142.190.202.217","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","6","12","16.6","MALICIOUS","PATH_TRAVERSAL"
"84.135.100.14","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","6","14.8","MALICIOUS","SQL_INJECTION"
"13.243.195.55","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","10","16","MALICIOUS","COMMAND_INJECTION"
"176.15.45.155","/login/","POST","python-requests/2.28","1","8","5.4","NORMAL","PATH_TRAVERSAL"
"129.122.172.202","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","12","7.6","SUSPICIOUS","PATH_TRAVERSAL"
"44.168.87.176","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","25","7.5","SUSPICIOUS","NORMAL"
"116.34.66.181","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","31","12.3","MALICIOUS","HTTP_METHOD_ABUSE"
"121.129.196.196","/login/","POST","python-requests/2.28","32","32","47.6","MALICIOUS","CREDENTIAL_STUFFING"
"173.3.112.31","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","23","23","33.9","MALICIOUS","CREDENTIAL_STUFFING"
"236.208.83.112","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","28","28","44.4","MALICIOUS","SQL_INJECTION"
"109.96.103.198","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","27","27","43.1","MALICIOUS","SQL_INJECTION"
"221.147.104.55","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","30","13","MALICIOUS","PATH_TRAVERSAL"
"16.30.191.119","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","23","23","33.9","MALICIOUS","CREDENTIAL_STUFFING"
"197.1.102.245","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","30","30","43","MALICIOUS","CREDENTIAL_STUFFING"
"159.226.122.146","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","33","9.9","SUSPICIOUS","NORMAL"
"29.122.147.107","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","29","29","41.7","MALICIOUS","CREDENTIAL_STUFFING"
"43.16.138.160","/login/","POST","python-requests/2.28","24","24","37.2","MALICIOUS","CREDENTIAL_STUFFING"
"98.87.137.132","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","24","10.2","SUSPICIOUS","HTTP_METHOD_ABUSE"
"134.199.10.136","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","20","20","34","MALICIOUS","SQL_INJECTION"
"54.140.23.173","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","20","20","30","MALICIOUS","CREDENTIAL_STUFFING"
"210.184.87.62","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","20","9","SUSPICIOUS","HTTP_METHOD_ABUSE"
"56.57.206.54","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","26","12.8","MALICIOUS","COMMAND_INJECTION"
"205.221.121.160","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","16","16","28.8","MALICIOUS","SQL_INJECTION"
"192.109.52.241","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","2.1","NORMAL","NORMAL"
"246.109.224.39","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","6.5","SUSPICIOUS","COMMAND_INJECTION"
"157.22.103.249","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","4.2","NORMAL","HTTP_METHOD_ABUSE"
"58.162.238.154","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","6.1","SUSPICIOUS","PATH_TRAVERSAL"
"66.199.125.18","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","11","8.3","SUSPICIOUS","COMMAND_INJECTION"
"191.142.235.152","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","8","7.4","SUSPICIOUS","COMMAND_INJECTION"
"81.12.91.118","/login/","POST","python-requests/2.28","6","6","13.8","MALICIOUS","CREDENTIAL_STUFFING"
"63.254.78.4","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","9.2","SUSPICIOUS","SQL_INJECTION"
"36.184.90.7","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","5.1","NORMAL","HTTP_METHOD_ABUSE"
"136.132.26.85","/login/","POST","python-requests/2.28","4","4","7.2","SUSPICIOUS","BRUTE_FORCE"
"159.228.8.224","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","3","3.9","NORMAL","BRUTE_FORCE"
"189.191.245.249","/login/","POST","python-requests/2.28","11","11","20.3","MALICIOUS","CREDENTIAL_STUFFING"
"39.211.52.99","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","1.5","NORMAL","NORMAL"
"127.88.77.226","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","6.1","SUSPICIOUS","PATH_TRAVERSAL"
"46.101.82.23","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","10.5","SUSPICIOUS","CREDENTIAL_STUFFING"
"188.88.190.218","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","1.2","NORMAL","NORMAL"
"206.21.96.58","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","5.9","NORMAL","COMMAND_INJECTION"
"131.141.100.28","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"211.111.189.45","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","8","5.4","NORMAL","HTTP_METHOD_ABUSE"
"192.135.154.116","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","3","3.9","NORMAL","BRUTE_FORCE"
"10.245.195.42","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","5.1","NORMAL","HTTP_METHOD_ABUSE"
"216.60.33.80","/login/","POST","python-requests/2.28","7","7","15.1","MALICIOUS","CREDENTIAL_STUFFING"
"46.238.177.203","/login/","POST","python-requests/2.28","2","2","4.6","NORMAL","BOT_ACTIVITY"
"66.175.67.166","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","3.9","NORMAL","HTTP_METHOD_ABUSE"
"23.61.207.97","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","14.5","MALICIOUS","SQL_INJECTION"
"97.149.129.99","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","6.6","SUSPICIOUS","SQL_INJECTION"
"52.244.57.247","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","6.8","SUSPICIOUS","COMMAND_INJECTION"
"214.100.148.191","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","6.8","SUSPICIOUS","COMMAND_INJECTION"
"186.199.25.191","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","5.2","NORMAL","PATH_TRAVERSAL"
"79.167.220.159","/login/","POST","python-requests/2.28","7","7","15.1","MALICIOUS","CREDENTIAL_STUFFING"
"231.167.40.83","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","5.1","NORMAL","HTTP_METHOD_ABUSE"
"130.161.6.101","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","5.9","NORMAL","COMMAND_INJECTION"
"135.177.30.82","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","10","10","21","MALICIOUS","SQL_INJECTION"
"87.157.237.140","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","5.1","NORMAL","HTTP_METHOD_ABUSE"
"39.95.101.167","/login/","POST","python-requests/2.28","6","6","13.8","MALICIOUS","CREDENTIAL_STUFFING"
"210.218.217.91","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","9","7.7","SUSPICIOUS","COMMAND_INJECTION"
"13.188.16.217","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","10","8","SUSPICIOUS","COMMAND_INJECTION"
"19.199.129.204","/login/","POST","python-requests/2.28","8","8","16.4","MALICIOUS","CREDENTIAL_STUFFING"
"201.63.88.246","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","8","8","14.4","MALICIOUS","CREDENTIAL_STUFFING"
"43.200.33.174","/login/","POST","python-requests/2.28","3","3","5.9","NORMAL","BRUTE_FORCE"
"209.169.208.92","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","7","5.1","NORMAL","HTTP_METHOD_ABUSE"
"128.140.22.89","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","1.8","NORMAL","NORMAL"
"53.115.68.15","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","5.9","NORMAL","COMMAND_INJECTION"
"29.38.32.249","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"140.253.197.229","/login/","POST","python-requests/2.28","6","6","13.8","MALICIOUS","CREDENTIAL_STUFFING"
"47.248.102.6","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","1.5","NORMAL","NORMAL"
"194.51.166.179","/login/","POST","python-requests/2.28","7","7","15.1","MALICIOUS","CREDENTIAL_STUFFING"
"88.154.113.49","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","1.8","NORMAL","NORMAL"
"160.103.150.217","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","1.5","NORMAL","NORMAL"
"165.79.87.137","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","3","3","3.9","NORMAL","BRUTE_FORCE"
"73.221.64.66","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","1.2","NORMAL","NORMAL"
"68.133.215.60","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","14.5","MALICIOUS","SQL_INJECTION"
"9.243.184.9","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","4.2","NORMAL","HTTP_METHOD_ABUSE"
"179.211.119.249","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","6.6","SUSPICIOUS","SQL_INJECTION"
"214.107.91.124","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","6","6","15.8","MALICIOUS","SQL_INJECTION"
"70.230.107.158","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","5.5","NORMAL","PATH_TRAVERSAL"
"247.121.197.240","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"85.28.82.207","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","8","6.4","SUSPICIOUS","PATH_TRAVERSAL"
"60.216.52.135","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","1.2","NORMAL","NORMAL"
"246.153.193.21","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","4.8","NORMAL","HTTP_METHOD_ABUSE"
"135.67.183.177","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","5","5","10.5","SUSPICIOUS","CREDENTIAL_STUFFING"
"234.57.219.21","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","5.5","NORMAL","PATH_TRAVERSAL"
"117.14.241.49","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","2.6","NORMAL","NORMAL"
"165.85.3.218","/login/","POST","python-requests/2.28","7","7","15.1","MALICIOUS","CREDENTIAL_STUFFING"
"21.194.203.174","/login/","POST","python-requests/2.28","4","4","7.2","SUSPICIOUS","BRUTE_FORCE"
"60.235.209.163","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","6","6","15.8","MALICIOUS","SQL_INJECTION"
"91.117.211.137","/login/","GET","mozilla/5.0 (windows nt 10.0; win64; x64)","0","2","4.6","NORMAL","PATH_TRAVERSAL"
"77.120.87.150","/login/","POST","python-requests/2.28","5","5","12.5","MALICIOUS","CREDENTIAL_STUFFING"
"1.39.7.47","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","5.9","NORMAL","COMMAND_INJECTION"
"10.10.162.197","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","4.8","NORMAL","HTTP_METHOD_ABUSE"
"192.27.124.245","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","6.2","SUSPICIOUS","COMMAND_INJECTION"
"165.175.50.28","/login/","POST","python-requests/2.28","3","3","5.9","NORMAL","BRUTE_FORCE"
"173.7.193.130","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","6.8","SUSPICIOUS","COMMAND_INJECTION"
"170.18.110.71","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","4.8","NORMAL","HTTP_METHOD_ABUSE"
"122.206.113.223","/login/","POST","python-requests/2.28","2","2","4.6","NORMAL","BOT_ACTIVITY"
"170.182.87.96","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","6","1.8","NORMAL","NORMAL"
"23.192.116.101","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","9.2","SUSPICIOUS","SQL_INJECTION"
"70.68.99.206","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","5.9","NORMAL","COMMAND_INJECTION"
"27.69.238.18","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"34.133.226.124","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","3","3.9","NORMAL","HTTP_METHOD_ABUSE"
"192.108.95.132","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","4","4.2","NORMAL","HTTP_METHOD_ABUSE"
"81.84.158.168","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","4","4","5.2","NORMAL","BRUTE_FORCE"
"69.221.42.186","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","6.5","SUSPICIOUS","COMMAND_INJECTION"
"231.58.49.37","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","2","5.6","NORMAL","COMMAND_INJECTION"
"157.18.2.243","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","2","2","6.6","SUSPICIOUS","SQL_INJECTION"
"248.69.129.25","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","5","6.5","SUSPICIOUS","COMMAND_INJECTION"
"169.153.77.84","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","15","15","23.5","MALICIOUS","CREDENTIAL_STUFFING"
"198.219.72.41","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","9","2.7","NORMAL","NORMAL"
"235.37.74.41","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","11","11","18.3","MALICIOUS","CREDENTIAL_STUFFING"
"223.80.157.60","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","14","4.2","NORMAL","NORMAL"
"248.31.204.122","/login/","POST","python-requests/2.28","14","14","24.2","MALICIOUS","CREDENTIAL_STUFFING"
"15.206.4.172","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","14","14","22.2","MALICIOUS","CREDENTIAL_STUFFING"
"111.236.132.55","/login/","POST","python-requests/2.28","9","9","17.7","MALICIOUS","CREDENTIAL_STUFFING"
"132.204.72.243","/login/","POST","mozilla/5.0 (windows nt 10.0; win64; x64)","0","10","8","SUSPICIOUS","COMMAND_INJECTION"
"118.123.98.232","/login/","DELETE","mozilla/5.0 (windows nt 10.0; win64; x64)","0","8","5.4","NORMAL","HTTP_METHOD_ABUSE"
